fn,firstSentence,confidence
Indobit-A-NYT1990_July to December_1-500-400.txt, a microbiologist whose research led to the discovery of vitamin B12 in 1947
Indobit-A-NYT1989 - March 1 - April 30-274.txt, a teacher and volunteer in community organizations
Indobit-A-NYT1994_1001-1500-223.txt," who played Elizabeth Montgomery's husband in the ""Bewitched"" television series"
Indobit-A-NYT1991 - Nov 1 - Dec 31-240.txt, director of the vocations ministry unit of the Presbyterian Church (U.S.A.)
Indobit-A-NYT1990_July to December_1001-1500-245.txt, the Superintendent of Schools in Lynbrook L.I.
Indobit-A-NYT1995 - July 1 - Aug 31-296.txt," a teacher and researcher known for his contributions to plasma physics, particularly in the field of extremely high-power microwave generators"
Indobit-A-NYT1996_1001-1500-20.txt, the widow of the Mexican revolutionary hero Pancho Villa
Indobit-A-NYT1995 - Jan 1 - Feb 28-223.txt, who helped define the style of American skiing through a chain of stores that carried his name and sold skis and ski clothing
Indobit-A-NYT1985 - July 1 - Sep 30-438.txt, who was active in community affairs
Indobit-A-NYT1997 - Jan 1 - March 31-328.txt, a leading Canadian soprano in the 1950's and 60's
Indobit-A-NYT1996_1001-1500-265.txt, a photographer for Life magazine from the 1930's to the 1950's who was known for his war photographs
Indobit-A-NYT1982_1001-1500-185.txt, one of the most successful high school football coaches in the city
Indobit-A-NYT1984_501-1000-186.txt, who dominated golf in New Jersey for many years and won three professional tour events
Indobit-A-NYT2001 - Jan 1 - March 31-341.txt," a former Northwest Airlines pilot whose plane was hijacked on Nov. 24, 1971, by ""D. B. Cooper"
Indobit-A-NYT1987 - Sep 1 - Oct 31-270.txt," a Hungarian film director whose best-known film, ''Angi Vera,'' was released in 1979"
Indobit-A-NYT1985 - Oct 1 - Dec 31-290.txt, who founded a brokerage firm that for many years carried his name
Indobit-A-NYT1994_1-500-358.txt, an abstract painter associated with the New York School
Indobit-A-NYT1983 - April 1 - June 30-278.txt, Todd Professor Emeritus of Chemistry at Cornell University
Indobit-A-NYT1991 - April 1 - April 30-179.txt, a retired partner in the Manhattan law firm of Shearman & Sterling
Indobit-A-NYT1988_1001-1500-5.txt, a former vice president-Latin America for Pan American World Airways
Indobit-A-NYT1986_1001-1500-61.txt, former Episcopal Bishop of Newark
Indobit-A-NYT2010_1001-1202-40.txt, a survivor of the Armenian genocide who came to the United States from Turkey after World War I
Indobit-A-NYT1994_1501-2000-315.txt, a scholar of African-American history and professor emeritus at Brooklyn College
Indobit-A-NYT1989 - Nov 1 - Dec 31-418.txt, a painter
Indobit-A-NYT1990_January to June_1-500-454.txt, who wrote mystery novels in the 1950's under the name Bernice Carey
Indobit-A-NYT1982_1001-1500-214.txt, who practiced internal medicine in New York City from 1936 until last April
Indobit-A-NYT2001 - July 1 - Sep 30-277.txt, a retired American pilot
Indobit-A-NYT2006_1-500-395.txt," whose evocative wilderness photographs, taken over five decades, became a potent weapon in the battle against environmental degradation"
Indobit-A-NYT1993 - March 1 - April 30-91.txt, one of Portugal's most prominent novelists and poets
Indobit-A-NYT1995 - July 1 - Aug 31-128.txt, a Russian emigre who fought Communism as a youth in the Soviet Union and later as a college professor in the United States
Indobit-A-NYT1988_501-1000-225.txt, a painter who created allegorical and other social realist-style murals in courthouses and other public buildings around the United States
Indobit-A-NYT1990_July to December_501-1000-208.txt, the first person appointed to the faculty at Hofstra University when it opened in 1935
Indobit-A-NYT1990_July to December_501-1000-483.txt, a retired professor of international education at Teachers College of Columbia University
Indobit-A-NYT2001 - July 1 - Sep 30-193.txt," the former world record-holder at 10,000 meters and an Olympic silver medalist in the event"
Indobit-A-NYT2012_1001-1233-126.txt, a British filmmaker who transformed old-fashioned puppets into futuristic action heroes in the 1960s in the hugely popular children's show ''Thunderbirds
Indobit-A-NYT2010_1-500-262.txt, a velvet-caped professional wrestling bad guy who enraged fans with his use of foreign objects and other sneaky tactics
Indobit-A-NYT1990_January to June_1-500-351.txt, a figure in Japan's rightist movement associated with a series of terrorist attacks in postwar Japan
Indobit-A-NYT2007 - July 1 - Sep 30-8.txt," one of the last of the Tin Pan Alley lyricists, whose most indelible work was the oft-recorded 1955 hit ''Unchained Melody'' but whose oeuvre ranged from jingles to songs about science to ballads of love and war"
Indobit-A-NYT1987 - Nov 1 - Dec 31-18.txt, a popular Chinese writer who devoted about 30 years to the translation of all of Shakespeare's works into Chinese
Indobit-A-NYT2005 - July 1 - Sep 30-67.txt, who was the first full-time offensive lineman elected to the Pro Football Hall of Fame and is widely regarded as the best offensive lineman ever
Indobit-A-NYT1987 - July 1 - Aug 31-214.txt, retired director of pediatrics at St. Luke's Hospital and a former professor of pediatrics at Columbia University College of Physicians and Surgeons
Indobit-A-NYT1980_1-500-486.txt,
Indobit-A-NYT1985 - April 1 - June 30-26.txt, a California photographer best known for his black and white photographs of Los Angeles and San Francisco in the 1940's
Indobit-A-NYT1996_1001-1500-24.txt, the widow of the Mexican revolutionary hero Pancho Villa
Indobit-A-NYT1992_1501-2000-88.txt," a retired partner of the New York law firm of Cravath, Swaine & Moore"
Indobit-A-NYT1993 - Sep 1 - Oct 31-398.txt, who coached Stanford to its only National Collegiate Athletic Association men's basketball championship in 1942
Indobit-A-NYT1994_1501-2000-192.txt, who won a $55.2 million lottery prize in 1988 and spent the following years giving the money away
Indobit-A-NYT1987 - Jan 1 - March 31-333.txt, who enthralled listeners with his tales of suspense and horror in the golden age of radio in the 1930's and 40's
Indobit-A-NYT1991 - Jan 1 - Jan 31-2.txt, a teacher at the Juilliard School of Music
Indobit-A-NYT1986_1001-1500-169.txt, one of five men who committed a $3 million dollar robbery at the Pierre Hotel in 1972
Indobit-A-NYT2001 - April 1 - June 30-257.txt, a direct-mail copywriter who elevated magazine subscription solicitations to an art form
Indobit-A-NYT1993 - Nov 1 - Dec 31-115.txt, a lyric soprano who sang with a silken clarity that made her a favorite in Mozart and Strauss roles
Indobit-A-NYT1983 - July 1 - Sep 30-224.txt, who wrote books for children and works on government and the environment
Indobit-A-NYT1992_1-500-278.txt, whose abrupt resignation as President of Brazil in 1961 touched off a crisis that led the military to seize power
Indobit-A-NYT1998_1001-1500-39.txt, whose eight-year career in the National Football League included the 1969 Pro Bowl
Indobit-A-NYT1987 - April 1 - June 30-309.txt," the nation's oldest war veteran, a man described by his daughter as a straight-laced person who never smoked or drank"
Indobit-A-NYT1982_1-500-429.txt, professor emeritus of chemistry at Columbia University and an authority on colloid chemistry
Indobit-A-NYT2011-July 1 - Sep 30-63.txt," Australia (AP) -- David Ngoombujarra, one of Australia's best-known indigenous actors, whose films included ''Australia'' and ''Rabbit-Proof Fence"
Indobit-A-NYT2007 - July 1 - Sep 30-166.txt, who helped establish the hotly colored but emotionally cool abstract painting that succeeded Abstract Expressionism in the early 1960s
Indobit-A-NYT1985 - April 1 - June 30-335.txt," retired managing partner of the Stamford, Conn., accounting firm of Coopers & Lybrand"
Indobit-A-NYT1984_501-1000-261.txt,
Indobit-A-NYT1995 - March 1 - April 30-169.txt, a Manhattan public-relations executive who represented many religious organizations
Indobit-A-NYT1990_January to June_1-500-382.txt, who in 1926 first published the Blue Book to evaluate used-car prices
Indobit-A-NYT1995 - May 1 - June 30-37.txt, a bass-baritone who taught voice at Carnegie Mellon University
Indobit-A-NYT1982_1-500-214.txt, a prominent figure in the educational system that bears his mother's name
Indobit-A-NYT2008_501-1000-180.txt," a shaggy-haired, countercultural, unemployed policy wonk when he teamed up with Daniel Ellsberg, a more button-downed antiwar figure, to leak the voluminous, top-secret government history of the Vietnam War called the Pentagon Papers"
Indobit-A-NYT2007 - Jan 1 - March 31-198.txt, whose 1986 movie ''De Aanslag'' (''The Assault'') won an Academy Award as best foreign-language film
Indobit-A-NYT1987 - Jan 1 - March 31-148.txt," wife of Gerard C. Smith, who led the United States delegation from 1969 to 1972 in the negotiations on limiting strategic arms"
Indobit-A-NYT1990_July to December_501-1000-373.txt, a former Mayor of Prairie View who led an effort to win students the right to vote
Indobit-A-NYT1997 - Jan 1 - March 31-30.txt, a pioneering earth scientist at Columbia University's Lamont-Doherty Earth Observatory for 40 years
Indobit-A-NYT1992_2001-2402-276.txt," a partner in the New York-based law firm of Weil, Gotshal & Manges"
Indobit-A-NYT1981 - Oct 1 - Dec 31-366.txt, a ceramic muralist
Indobit-A-NYT2009 - July 1 - Sep 30-191.txt,
Indobit-A-NYT1996_1-500-21.txt, who devoted his life to writing and compiling books of humor
Indobit-A-NYT1994_1-500-455.txt, who presided over the Texaco bankruptcy case at Federal District Court in White Plains
Indobit-A-NYT1984_501-1000-335.txt,
Indobit-A-NYT1985 - July 1 - Sep 30-301.txt, a mystery writer who also wrote under the names George Bagby and Hampton Stone
Indobit-A-NYT1992_1001-1500-279.txt," a tackle for the University of Oklahoma, the Philadelphia Eagles, Washington Redskins and Detroit Lions in the 1950's"
Indobit-A-NYT2005 - Oct 1 - Dec 31-11.txt, one of Britain's best-loved comedians as half of the long-running television team the Two Ronnies
Indobit-A-NYT1986_1-500-213.txt, a retired Barnard College psychology professor who conducted research on whether fingertips can identify colors
Indobit-A-NYT2016_1-500-55.txt, the last known survivor of the San Francisco earthquake and fires of 1906
Indobit-A-NYT1999 - April 1 - June 30-262.txt," who with her husband, Bernard, amassed the largest privately owned collection of Mexican modernist art and then gave it away"
Indobit-A-NYT1996_501-1000-311.txt," who effectively introduced many Americans to the psychedelic 1960's with the relentlessly quoted phrase, ""turn on, tune in, drop out"
Indobit-A-NYT1985 - Oct 1 - Dec 31-381.txt, the last surviving descendant of Lincoln
Indobit-A-NYT2003 - July 1 - Sep 30-127.txt," a Great Plains Indian writer whose poetry and spare, understated prose explored the complex relationship between his origins and the world outside, which welcomed his work with critical praise and a measure of fame"
Indobit-A-NYT1989 - Jan 1 - Feb 28-201.txt, a lifelong running enthusiast who was the Metropolitan Amateur Athletic Union junior half-mile champion in the early 1930's
Indobit-A-NYT1994_501-1000-457.txt, a professor of Latin American history at New York University
Indobit-A-NYT2002_1-500-194.txt, an abstract painter who exhibited his work in New York galleries and alternative spaces off and on for more than 30 years
Indobit-A-NYT1987 - Jan 1 - March 31-112.txt, a psychology professor who formulated controversial theories on creativity and helped select Secret Service agents in World War II
Indobit-A-NYT1984_1-500-183.txt, a Chinese military commander who served as Chief of Staff from 1954 to 1958
Indobit-A-NYT1992_1-500-203.txt, a Matinnecock Indian who fought for the rights of her tribe
Indobit-A-NYT1990_July to December_1-500-163.txt, who developed two important drugs in the treatment of ovarian cancer
Indobit-A-NYT1990_January to June_1-500-291.txt, a retired Air Force major general who was the United States Air Force's youngest colonel
Indobit-A-NYT1999 - April 1 - June 30-153.txt, an eminent writer and a veteran of the Chinese 1919 May Fourth Movement for free expression
Indobit-A-NYT2001 - July 1 - Sep 30-25.txt, who won renown with his photographs of Toscanini
Indobit-A-NYT2010_501-1000-200.txt," doctors and lawyers, spies and cowboys, heroes"
Indobit-A-NYT2007 - Jan 1 - March 31-209.txt, who was at Fidel Castro's side in the Cuban revolution and later spent three decades as a political prisoner in Mr. Castro's jails
Indobit-A-NYT1988_501-1000-383.txt, an Indian philosopher and expert on the German existentialist philosopher Martin Heidegger
Indobit-A-NYT2010_1-500-448.txt," a bassist who provided the foundation for his family's hit-making R&B band, the Isley Brothers"
Indobit-A-NYT2007 - April 1 - June 30-109.txt, N.J. Johnny Perkins
Indobit-A-NYT1984_1001-1500-52.txt," the pioneer of country music's honky tonk sound, with songs like ''I'm Walking the Floor Over You"
Indobit-A-NYT1989 - March 1 - April 30-303.txt, professor emeritus of German at Princeton University
Indobit-A-NYT1990_July to December_1001-1500-153.txt, a retired stockbroker
Indobit-A-NYT1986_501-1000-113.txt," who became Britain's first television soap-opera star in ''Coronation Street,'' the country's longest-running television serial"
Indobit-A-NYT1989 - Nov 1 - Dec 31-218.txt, a retired executive of the Chase Manhattan Bank and Chase International Corporation
Indobit-A-NYT1995 - Jan 1 - Feb 28-149.txt, a professor of solid mechanics at Johns Hopkins University who did extensive research into how materials undergo change
Indobit-A-NYT2006_1001-1372-11.txt," co-writer of ''Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,'' the 1960 hit song about a bashful bather"
Indobit-A-NYT1980_1-500-26.txt," retired, a survivor of the Bataan Death March in World War II"
Indobit-A-NYT1981 - July 1 - Sep 30-83.txt," professor of communications at the New York Institute of Technology in Old Westbury, L.I."
Indobit-A-NYT2010_501-1000-300.txt," one of television's most prolific writers and series creators, whose work encompassed the ''The Rockford Files'' and ''Wiseguy'' to ''The A-Team'' and ''The Greatest American Hero"
Indobit-A-NYT1995 - Nov 1 - Dec 31-288.txt, a restaurateur who first packaged and sold homemade pasta
Indobit-A-NYT1994_501-1000-298.txt, who became a television and radio personality promoting the Gallo jug wines that were named for him
Indobit-A-NYT1981 - April 1 - June 30-90.txt, a microbiologist and international authority in the field of public health
Indobit-A-NYT1990_January to June_1-500-259.txt,
Indobit-A-NYT2002_1001-1513-261.txt, a grocery-chain executive who packed the aisles of Food Emporium supermarkets with imported and specialty foods
Indobit-A-NYT1981 - July 1 - Sep 30-268.txt, professor emeritus of biology at Queens College
Indobit-A-NYT1980_1-500-219.txt, a four-term New York State State Senator from Geneva
Indobit-A-NYT1984_1-500-53.txt, professor emeritus of anesthesiology at the University of Florida's College of Medicine in Gainesville
Indobit-A-NYT1999 - Jan 1 - March 31-8.txt, a Japanese director noted for tackling contemporary social problems in his films
Indobit-A-NYT1982_501-1000-78.txt, who served 16 years in Congress and was the ranking Republican on the House Ways and Means Committee
Indobit-A-NYT1987 - July 1 - Aug 31-258.txt, most remembered for the Oakland Growth Study of youths at the Institute of Human Development at the University of California at Berkeley
Indobit-A-NYT1983 - Oct 1 - Dec 31-79.txt, professor of medicine at the Columbia University College of Physicians and Surgeons and an authority on blood coagulation
Indobit-A-NYT1980_501-904-222.txt, who won the Indianapolis 500 auto race in 1925
Indobit-A-NYT1984_1-500-85.txt, who organized Yugoslav peasants against the Nazis and founded a food cooperative here
Indobit-A-NYT1990_July to December_1-500-466.txt, a bassoonist who played with the New York City Opera and other orchestras
Indobit-A-NYT1999 - Oct 1 - Dec 31-107.txt," who wrote the lyrics to one of Elvis Presley's early big hits, ""Heartbreak Hotel"
Indobit-A-NYT1986_1-500-224.txt, a former teacher of biochemistry at City College and Columbia University
Indobit-A-NYT1981 - April 1 - June 30-433.txt," the wife of Paul E. Magloire, the former President of Haiti"
Indobit-A-NYT2001 - Jan 1 - March 31-317.txt, a classical clarinetist
Indobit-A-NYT1984_1-500-394.txt," who for four decades made music on film, radio, television and records"
Indobit-A-NYT1998_501-1000-248.txt, a jazz guitarist who performed with some of the leading musicians of his day
Indobit-A-NYT1990_January to June_1-500-239.txt," professor emeritus of education at Adelphi University in Garden City, L.I."
Indobit-A-NYT1984_1-500-3.txt, who served 10 terms in Congress and was regarded by colleagues as a champion of civil rights
Indobit-A-NYT2009 - July 1 - Sep 30-124.txt," R.I. State Representative Thomas C. Slater, who successfully urged legalizing medical marijuana in Rhode Island"
Indobit-A-NYT1990_July to December_501-1000-149.txt," who led Seton Hall to its only undefeated season, in 1940, then became a standout in the early years of the National Basketball Association"
Indobit-A-NYT1994_1-500-85.txt, a retired senior partner of the law firm of Simpson Thacher & Bartlett
Indobit-A-NYT1988_1001-1500-388.txt, Governor Cuomo's father-in-law
Indobit-A-NYT1984_501-1000-14.txt," who commandered Allied troops in Italy in World War II and was head of the United Nations forces at the end of the Korean War, believed his 11-year presidency of The Citadel was his crowning achievement"
Indobit-A-NYT1998_501-1000-466.txt, an expert on insect-borne diseases who headed the microbiology department at the University of Maryland School of Medicine for 32 years
Indobit-A-NYT2010_1-500-21.txt, the Argentine singer whose gyrating pelvis and romantic ballads brought comparisons to Elvis Presley
Indobit-A-NYT1988_1001-1500-189.txt," the widow of Daniel F. Gerber, who founded the Gerber Products Company"
Indobit-A-NYT1992_501-1000-372.txt, a writer who specialized in paranormal phenomena
Indobit-A-NYT2007 - Jan 1 - March 31-283.txt," who directed the documentary ''The Concert for Bangladesh,'' showing the 1971 show organized by George Harrison and Ravi Shankar to raise money for refugees"
Indobit-A-NYT1984_1001-1500-189.txt, whose philanthropic help allowed the Metropolitan Museum of Art to remain open Tuesday evenings during the museum's severe budget cutbacks in 1975
Indobit-A-NYT1991 - Aug 1 - Aug 31-33.txt, who practiced patent law for 60 years
Indobit-A-NYT1990_July to December_1-500-92.txt, a professor of biology at Brooklyn College
Indobit-A-NYT2006_1001-1372-182.txt, a former world bantamweight boxing champion from France
Indobit-A-NYT1991 - Aug 1 - Aug 31-57.txt, a writer who specialized in the world of entertainment
Indobit-A-NYT1993 - Nov 1 - Dec 31-34.txt, a British director and screenwriter who was severely burned in the Malibu wildfire while trying to rescue a stray cat near the guest house he was renting
Indobit-A-NYT1989 - March 1 - April 30-101.txt, a writer
Indobit-A-NYT1991 - July 1 - July 31-145.txt," co-founder with his wife, Joy, of the Pawling Health Manor, a spa in Hyde Park, N.Y."
Indobit-A-NYT2003 - July 1 - Sep 30-41.txt," Countess of Paris, who was married to a pretender to the throne of France"
Indobit-A-NYT2017-Jan 1 - March 31-176.txt," a gruff, green-tongued fighter who, as the Animal, was one of wrestling's wildest and most-hated villains for almost two decades"
Indobit-A-NYT1981 - July 1 - Sep 30-33.txt," professor emeritus of law at the Dickinson School of Law in Carlisle, Pa., who formerly worked for the Justice Department"
Indobit-A-NYT1985 - Oct 1 - Dec 31-200.txt, who compiled a .336 batting average in 14 years in the major leagues but was never elected to the Hall of Fame
Indobit-A-NYT1994_501-1000-293.txt, a photographer for Life magazine on assignment throughout the world and later a pioneer in computer-assisted imaging
Indobit-A-NYT1988_501-1000-373.txt," a distinguished Swiss bass-baritone known for his musicianship and for his interpretation of music by such modern masters as Hindemith, Stravinsky and Frank Martin"
Indobit-A-NYT1988_501-1000-485.txt, a biblical scholar who taught at Hebrew Union College-Jewish Institute of Religion in Los Angeles
Indobit-A-NYT1998_1-500-4.txt," who played piano on Elvis Presley's ""Heartbreak Hotel"
Indobit-A-NYT2006_1-500-370.txt, considered one of the Dutch postwar literary greats
Indobit-A-NYT1981 - July 1 - Sep 30-357.txt,
Indobit-A-NYT1982_501-1000-458.txt, a former United States Representative from Connecticut's 3d Congressional District
Indobit-A-NYT1994_1501-2000-23.txt, one of the last great tango singers
Indobit-A-NYT1984_1001-1500-368.txt," a mezzo-soprano who made appearances with the Metropolitan Opera, the San Diego Opera and the Cincinnati Opera, among others"
Indobit-A-NYT1991 - July 1 - July 31-14.txt, a Wall Street executive and former chairman of Laidlaw & Company
Indobit-A-NYT1985 - July 1 - Sep 30-246.txt, a two-term Democratic State Senator from Harlem in the early 1970's
Indobit-A-NYT2009 - Oct 1 - Dec 31-201.txt," Va. Jack Cooke, the longtime bass player and singer with Ralph Stanley's Clinch Mountain Boys"
Indobit-A-NYT1995 - July 1 - Aug 31-210.txt," the first manager of the Houston Colt .45s, later the Astros, and a manager of Mickey Mantle and Roger Maris early in their careers"
Indobit-A-NYT1998_501-1000-173.txt, whose documentary films celebrated the Cuban revolution
Indobit-A-NYT1995 - Nov 1 - Dec 31-154.txt," Russia, Nov. 26 Nikolai Drozdetsky, a onetime star on Soviet Union national and Olympic hockey teams"
Indobit-A-NYT1987 - Sep 1 - Oct 31-83.txt, who was hand-picked as President by the dictator Antonio Salazar and ousted in a leftist military coup in 1974
Indobit-A-NYT1986_1001-1500-318.txt, professor emeritus of systematic theology and christian ethics at the Theological Seminary of the Reformed Episcopal Church in Philadelphia
Indobit-A-NYT1989 - May 1 - June 30-39.txt, a retired chemistry professor who was one of the first to use infrared radiation in the study of molecular structure
Indobit-A-NYT1989 - May 1 - June 30-165.txt, a professor of Talmud for more than 40 years
Indobit-A-NYT1988_501-1000-271.txt, who wrote more than 75 children's books
Indobit-A-NYT1985 - Jan 1 - March 31-264.txt, a pioneer in the hormonal treatment of advanced breast cancer
Indobit-A-NYT1981 - Oct 1 - Dec 31-201.txt, a scientific researcher whose battle with cancer became the subject of a Public Broadcasting Service televison program
Indobit-A-NYT1984_501-1000-38.txt, a retired economics professor and daughter of former Associate Justice Louis D. Brandeis of the Supreme Court
Indobit-A-NYT1983 - Oct 1 - Dec 31-206.txt,
Indobit-A-NYT1982_1501-1630-115.txt, a former chairman of the English department at Dartmouth College
Indobit-A-NYT1984_501-1000-284.txt, a nightclub singer who participated last week in the Kool Jazz Festival's ''Evening of the Music of Harold Arlen'' at Carnegie Hall
Indobit-A-NYT1987 - April 1 - June 30-332.txt, who as a pilot was instrumental in the defeat in 1920 of an African rebel known as the Mad Mullah in what was Britain's cheapest war
Indobit-A-NYT2017-Jan 1 - March 31-175.txt,
Indobit-A-NYT1994_1501-2000-208.txt," who with Albert R. Broccoli produced early James Bond films like ""Dr. No"" and ""Goldfinger"
Indobit-A-NYT1985 - Oct 1 - Dec 31-63.txt, a former United States Representative who was once an ally of Huey P. Long but later joined his opponents
Indobit-A-NYT2002_1001-1513-441.txt, who set the wheel-driven land-speed record of 458 miles an hour last year
Indobit-A-NYT1991 - March 1 - March 31-207.txt, a highly decorated submarine commander in World War II
Indobit-A-NYT2008_1001-1185-36.txt, who transformed radio programming with a syndicated format that delivered more music
Indobit-A-NYT2009 - July 1 - Sep 30-23.txt, Mich. Lou Creekmur
Indobit-A-NYT2003 - April 1 - June 30-93.txt," who with her husband, Boudleaux Bryant, wrote ""Bye Bye Love"" and other Everly Brothers hits and the hand-clapping bluegrass standard ""Rocky Top"
Indobit-A-NYT1995 - March 1 - April 30-130.txt, a British agent tortured by the Gestapo in World War II and the first woman awarded the George Cross
Indobit-A-NYT1994_1501-2000-323.txt," the foremost songwriter in contemporary Judaism, who used his music to inspire and unite Jews around the world"
Indobit-A-NYT1999 - Jan 1 - March 31-90.txt," the lone woman in the raucous, celebrated and astonishingly untidy group of television writers behind Sid Caesar's ""Your Show of Shows"
Indobit-A-NYT1990_January to June_501-1000-50.txt, a former Alderman who ran his West Side ward virtually unchallenged for more than 30 years
Indobit-A-NYT1991 - June 1 - June 30-119.txt, a Princeton University professor emeritus who was an adviser to several nations and won the Nobel Prize in economics in 1979
Indobit-A-NYT1997 - April 1 - June 30-214.txt, an authority on fluid mechanics
Indobit-A-NYT1986_1001-1500-378.txt, the former Buffalo Bills fullback
Indobit-A-NYT2000_1-500-287.txt, the mother of Bulgaria's exiled King Simeon II
Indobit-A-NYT1999 - April 1 - June 30-184.txt, the commander of glider-borne British infantrymen who seized the strategically vital Pegasus Bridge in the first battle of the D-Day invasion of Normandy
Indobit-A-NYT2002_1-500-435.txt, a two-time Winston Cup champion and a dominant figure in Nascar in the 1950's
Indobit-A-NYT2000_1001-1500-496.txt, a documentary filmmaker
Indobit-A-NYT2007 - Oct 1 - Dec 31-147.txt," who played himself on his parents' TV show, ''The George Burns and Gracie Allen Show,'' in the 1950s"
Indobit-A-NYT2008_501-1000-221.txt," the man behind the deep, rolling bass voice in a string of 1970s R&B hits by the Spinners"
Indobit-A-NYT1990_July to December_1001-1500-484.txt, the State Industry Minister who recently mediated a battle for control of Italy's chemical industry
Indobit-A-NYT1990_January to June_1001-1500-343.txt, a professor of classics at Williams College
Indobit-A-NYT1995 - Nov 1 - Dec 31-53.txt, a scholar on the mystic traditions of the world's religions and formerly a host of a radio show on WBAI-FM
Indobit-A-NYT1986_501-1000-313.txt, who was the voice of numerous cartoon characters on television and motion pictures
Indobit-A-NYT1987 - Sep 1 - Oct 31-233.txt, a former Assistant Attorney General of Massachusetts and former associate regional counsel for the Department of Housing and Urban Development
Indobit-A-NYT1982_501-1000-54.txt, former executive director of the Newark Housing Authority
Indobit-A-NYT1988_1-500-423.txt," a writer of crime novels featuring Hoke Moseley, a fictional Miami homicide detective"
Indobit-A-NYT1981 - July 1 - Sep 30-328.txt, a public relations executive and a major general in the National Guard
Indobit-A-NYT1995 - July 1 - Aug 31-161.txt," the award-winning composer of the score to ""Ben-Hur"" and dozens of other films"
Indobit-A-NYT2004_501-1000-167.txt," who helped create parachute cords, AstroTurf and fiber for sweaters and carpets"
Indobit-A-NYT1980_1-500-73.txt, a former halfback with the Detroit Lions of the National Football League
Indobit-A-NYT1990_January to June_1001-1500-300.txt, a retired professor of ecumenical theology and world Christianity at Colgate Rochester Divinity School
Indobit-A-NYT1985 - July 1 - Sep 30-358.txt," who won more than $600,000 during his career on the PGA Tour and continued to play professional golf on the senior circuit after discovering he had terminal cancer"
Indobit-A-NYT1988_501-1000-427.txt, an American scientist who was an authority on space plasma physics
Indobit-A-NYT2016_501-1000-27.txt," who oversaw one of the biggest advances in fusion energy research, attempting to replicate the power of the sun"
Indobit-A-NYT2005 - July 1 - Sep 30-170.txt, who was nominated in 1996 for an Oscar as co-writer of ''Toy Story'' for Pixar Animation Studios
Indobit-A-NYT2009 - Jan 1 - March 31-279.txt," Ala. -- Willie King, an Alabama blues singer and guitarist"
Indobit-A-NYT1984_501-1000-34.txt," writer, scholar and urban theorist"
Indobit-A-NYT1981 - Jan 1 - March 31-39.txt,
Indobit-A-NYT1997 - April 1 - June 30-54.txt, a stockbroker who owned one of the largest over-the-counter brokerage firms of the 1960's
Indobit-A-NYT2013- Jan 1 - March 31-215.txt, an internationally acclaimed Colombian harpsichordist who was among the last disciples of Wanda Landowska
Indobit-A-NYT2010_1-500-277.txt," 8-year-old Elinor Patricia Ward got her first flying lesson -- at her kitchen table in Freeport, N.Y."
Indobit-A-NYT1982_1-500-257.txt," Minn., Feb. 20 The death of Calvin Rutstrum, a writer who prepared countless future disciples for canoe travel in ''The Way of the Wilderness"
Indobit-A-NYT1992_501-1000-150.txt, one of the last of the original Delta blues guitarists and singers
Indobit-A-NYT2014_1-500-344.txt,
Indobit-A-NYT1996_1-500-423.txt, an outfielder with the Chicago Cubs and the Philadelphia Phillies from 1939-53 who twice led the National League in home runs and runs batted in
Indobit-A-NYT1988_501-1000-84.txt, chairman of North American Philips Corporation from 1948 to 1975
Indobit-A-NYT1981 - Jan 1 - March 31-338.txt,
Indobit-A-NYT1997 - April 1 - June 30-347.txt, a composer who taught at the Juilliard School and the Mannes College of Music
Indobit-A-NYT1984_1001-1500-245.txt, a scientist known for his pioneering research of the desert jojoba plant
Indobit-A-NYT1992_1-500-169.txt, an anti-colonialist and the wife of President Robert Mugabe
Indobit-A-NYT2001 - Oct 1 - Dec 31-108.txt, who won the Masters tournament in 1959 and made more than 40 holes in one during his golf career
Indobit-A-NYT1983 - Oct 1 - Dec 31-157.txt, a gambling pioneer who turned a tiny club on the state border into a multimillion-dollar casino empire
Indobit-A-NYT1999 - July 1 - Sep 30-267.txt, an engineer who supervised some of the National Aeronautics and Space Administration's early scientific penetrations into deep space
Indobit-A-NYT1985 - Jan 1 - March 31-44.txt, an antiquarian-book dealer for many years
Indobit-A-NYT1980_501-904-225.txt, who helped design and build the Chesapeake Bay Bridge and San Francisco-Oakland Bay Bridge as well as the Apollo moon complex at Cape Canaveral
Indobit-A-NYT1982_501-1000-79.txt, who gave the original performances of ''Lullaby of Broadway'' and ''The Lady in Red
Indobit-A-NYT1990_January to June_1001-1500-258.txt, creator of the fortune cookie folding machine and a line of risque fortune cookies
Indobit-A-NYT2001 - April 1 - June 30-381.txt, the widow of the Olympian Jesse Owens and the longtime chairwoman of the foundation honoring his legacy
Indobit-A-NYT1992_1501-2000-366.txt, the longtime head of the organic chemistry section of the Walter Reed Army Institute of Research in Washington
Indobit-A-NYT2003 - July 1 - Sep 30-262.txt," a philosopher and medical ethicist who wrote some of the most influential works on euthanasia, arguing that the legal distinction between killing and passively allowing a patient's death had no rational basis"
Indobit-A-NYT1993 - Nov 1 - Dec 31-388.txt," one of the two Red Army soldiers who raised the Soviet flag over the battered Reichstag in Berlin on April 30, 1945"
Indobit-A-NYT2006_1-500-11.txt," who worked to gain recognition for prisoners of war after her husband, an Air Force pilot, was shot down and captured in North Vietnam in 1966"
